"state","step","criteria","STL.STACK","knn","pls","ridge","svmLinear2","STACK","knn.1","pls.1","ridge.1","svmLinear2.1"
"acre","5-step","MAE",333.698381582896,239.508916121768,872.539614540412,879.18086777334,748.686388075455,399.043126985431,307.916666666667,840.596530070911,840.296785570706,742.770366567233
"acre","5-step","MAPE",1.46618828944877,Inf,Inf,Inf,Inf,1.27206265273996,0.581206033013325,NA,Inf,4.63345571540728
"acre","5-step","RMSE",647.014847792739,419.749724553541,1138.44639857446,1144.36907496725,1288.53888029667,889.421119561729,650.223071978635,1256.65348132632,1258.2906612837,1416.44722366742
"acre","6-step","MAE",302.036256516973,298.02223575493,772.621641052731,770.871117309802,662.066197965842,556.036575396856,241.9,647.433684203249,649.456173790329,689.380421838346
"acre","6-step","MAPE",1.59074035364043,NA,1.17139758667502,1.18252891164243,Inf,1.44775686862783,0.808586220201346,1.21475098066998,Inf,4.14901140350691
"acre","6-step","RMSE",552.492268663966,597.475740307536,1071.19688616779,1069.85038566278,1187.05206996152,973.002127370882,430.499980642663,1030.43467276986,1034.13297327933,1288.37211097726
"acre","7-step","MAE",250.951894938946,269.110375437965,814.634429358123,816.768286694218,732.994232457292,489.796819270899,452.4,735.6673132377,743.506472679354,701.081217832878
"acre","7-step","MAPE",1.14044603881601,NA,Inf,Inf,2.74065790170845,9.27636585324862,1.03000038805197,NA,Inf,4.64703054565707
"acre","7-step","RMSE",508.612479791143,585.271091776167,1280.46256478242,1279.59858711578,1346.52715258281,1049.02871264828,907.71014463135,1267.27692024618,1271.27842350234,1388.55457023571
"acre","8-step","MAE",333.041134675344,296.177905722828,904.787967032644,902.788149519897,791.310533623053,514.346138050159,499.033333333333,823.340314369788,827.344417297276,750.360260205744
"acre","8-step","MAPE",1.06203679564814,Inf,Inf,Inf,Inf,1.72066422822707,2.7031990248582,NA,Inf,Inf
"acre","8-step","RMSE",625.620491353993,603.188965012414,1321.52485741857,1319.00658277942,1385.30637828542,968.007568584969,972.142314684429,1311.70007973909,1315.07881728604,1428.82461157197
"acre","9-step","MAE",408.40807064871,307.523143952439,937.105830293541,938.333574282607,769.784807997892,419.894766072432,504.133333333333,829.600757181123,831.096307167024,738.477279299138
"acre","9-step","MAPE",3.25590615626096,Inf,1.67971472462703,Inf,Inf,6.29997980062843,5.22582172424471,NA,Inf,Inf
"acre","9-step","RMSE",738.312778527673,604.78705546849,1327.35429500085,1325.39784428478,1381.93705026596,901.238830513599,972.637424737502,1313.44038962051,1316.07976063902,1428.09061029674
"acre","10-step","MAE",309.912184556325,302.182596214917,979.653921609994,981.246864543104,780.559599111395,451.653486847878,503.883333333333,867.187702632407,868.864948815197,748.410251102105
"acre","10-step","MAPE",1.07964117912537,Inf,Inf,Inf,Inf,0.888306278085976,5.13488257080555,NA,Inf,5.26931837401747
"acre","10-step","RMSE",629.064379622733,604.201070971248,1339.17791033667,1337.21294642369,1383.13834809416,905.010152743069,972.636062461186,1320.19161923817,1322.97604429894,1428.60306858673
"acre","11-step","MAE",304.250861977537,299.913456612625,1035.48286060306,1041.11456802633,797.553622656704,440.441513712207,503.883333333333,907.109011228256,909.361376417461,759.946276733052
"acre","11-step","MAPE",3.92883857385489,Inf,1.69844714819244,1.69443894396382,3.15548025073253,7.49759634803055,5.14506932802117,NA,1.93661134438943,5.32894649643914
"acre","11-step","RMSE",590.066371854703,604.627262180108,1352.77045344846,1351.30744946773,1384.44646927412,844.22556854324,972.636062461186,1327.56531106862,1330.46098983683,1429.16846059094
"acre","12-step","MAE",317.642186601957,285.829158549853,1085.09315798279,1079.58971853161,801.825299495828,567.425682266553,503.633333333333,948.745164012492,949.942510695993,768.891287802246
"acre","12-step","MAPE",1.30716571004126,NA,1.69844714819244,1.69443894396382,3.15548025073253,4.04646667161593,5.14506932802117,1.9198971527859,1.93661134438943,5.32894649643914
"acre","12-step","RMSE",631.971723045313,602.655553984496,1366.48461687147,1363.60928297632,1384.98934511594,1103.75161078843,972.635419877356,1335.37728218537,1338.29058337463,1429.73510312823
"amapa","1-step","MAE",67.2022132625182,64.3080841476834,87.6921675893776,89.5609154690147,69.5067545793764,113.182104043973,91.5699300699301,131.296395958608,130.939504231299,84.436276411848
"amapa","1-step","MAPE",11.1333814277891,NA,NA,NA,NA,4.37638496000912,0.577181080604675,Inf,Inf,Inf
"amapa","1-step","RMSE",149.114110039529,166.724387798535,160.428373916118,168.345684316459,158.621339322381,284.588010370877,230.398566058942,178.099581149974,179.980117794637,154.279297275934
"amapa","2-step","MAE",82.3230501623863,77.9616182186798,97.6054790745652,101.832672710173,71.1350776353486,137.497671996554,113.181818181818,170.58991243707,171.708794567273,99.1828510085923
"amapa","2-step","MAPE",47.919954296827,NA,NA,NA,NA,0.923854266381653,0.621075031867946,0.953341320949427,0.952986758002949,1.49496302421523
"amapa","2-step","RMSE",177.085756749413,181.579305096564,164.18844745663,176.221666325023,162.54139543286,318.967551757869,255.925832382041,204.033326424316,204.979603164944,164.482178732219
"amapa","3-step","MAE",70.1492039511601,78.7814538517282,85.1841496895132,78.6013667478674,62.3333333333333,83.8144489129384,79.4941724941725,132.073790282389,134.50854811439,70.1078451813674
"amapa","3-step","MAPE",9.51463091239799,NA,NA,NA,NA,1.03603338602556,0.599228613147742,Inf,Inf,Inf
"amapa","3-step","RMSE",160.73452678916,175.33299165174,141.352526989623,142.878419096999,156.06515733287,149.143259056237,202.529521875201,156.527428945808,157.753537621029,139.773458093932
"amapa","4-step","MAE",77.3954802347968,71.2482136084982,93.5083896778626,95.4602862342976,71.9062406757461,108.658506641436,112.909090909091,173.43900970176,174.396210612072,96.8399851574727
"amapa","4-step","MAPE",2.75071030761955,NA,NA,NA,NA,13.2165264030549,0.625645248897752,0.980032867056173,0.979423684193863,1.40956670097623
"amapa","4-step","RMSE",166.525165723346,173.301320675384,162.189156981357,172.009684025129,162.619193296208,285.260641307684,255.618722181057,202.998836644943,204.791660163517,163.198809591874
"amapa","5-step","MAE",63.4769797474146,80.9497085440732,67.7168589435945,72.0931058789992,66.3004036346599,99.2615650501102,106.037878787879,145.420949699114,149.098406614468,70.1858661878069
"amapa","5-step","MAPE",3.29940441523496,NA,NA,NA,NA,2.69444336299198,0.568283508624616,0.928063989608908,0.930266869952901,1.33185062253796
"amapa","5-step","RMSE",111.350429848998,167.020925253842,127.562458033442,138.075856446631,156.456787294628,202.008811928957,239.373092206971,160.803489451578,164.163133530098,139.453477573681
"amapa","6-step","MAE",74.8443211267392,93.21550109808,106.663282107259,109.059793745605,66.7022396781051,52.6087651501099,104.734848484848,152.133632035359,152.430632715711,73.6937126025767
